Title,Additional Info,Description,Ref,TypeOfContract,Cpv(main),Cpv(additional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awarding a contract for establishment of a public-private partnership for design, construction, financing," operation and distribution of water bottling facilities for commercial purposes.	Awarding a contract for establishment of a public-private partnership for design", construction, financing, operation and distribution of water bottling facilities for commercial purposes, which is realised as a public procurementAwarding a contract for establishment of a public-private partnership for design, construction, financing, operation and distribution of water bottling facilities for commercial purposes," which is realised as a public procurement		SERVICES	41000000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Development and purchase of office space and car parking in Exeter.	DCH seeks land", office space and car parking in the Exeter area for its new head office. This can involve either: (1) the provision of a refurbished existing building or (2) the provision of land and construction of a new office building. DCH will acquire ownership of the land, office and car park.DCH requires modern, high quality office accommodation and parking for its new head office in Exeter, for completion no later than Spring 2018. Minimum requirements:Adjacent to major transport routes serving Exeter.No more than 10 minutes (during peak hours) drive time from Junctions 29 or 30 of the M5.Co-located with similar businesses or in an area with planning permission or allocated for similar business use.An existing planning designation for office (B1 use).Net internal area of minimum of 30 000 Ft2 with ability for future expansion to min 35 000 Ft2 through development of an additional wing/extension (not a discrete additional building).Green alternatives to car travel required, likely to include designated cycle-ways," regular bus or trains to central Exeter (at least 3/hr).Dedicated parking onsite for 220 + vehicles.Bream excellent upon completion.Open plan with min reception and cellular office areas.(see II.2.14 for more info)		WORKS	45000000	45213150",45210000,45400000,45200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"211/YE/PIN Robotics research facility.	The Department of Automatic Control and Systems Engineering and Sheffield Robotics at the University of Sheffield is looking to equip and furnish a research facility.We are seeking market engagement for a forthcoming tender to furnish and equip the whole facility as a single contract", including sourcing infrastructure equipment and fitting out a building. Infrastructure equipment will be required for the following purposes:1) Creating various indoor and outdoor environments to simulate the real world: Lightweight components for creating various indoor and outdoor environments, such as rough terrain, vegetation, maze, buildings inside and outside, culverts, bridge sections, wall surfaces to simulate high rise buildings.2) Measurement, sensing and monitoring of unmanned air and ground vehicles: examples include motion capture, monitoring position and location of mobile multi-vehicle platforms, 3-D LIDAR, differential GPS, GNSS, processing data from Inertial Measurement Units (IMUs).We are seeking market engagement for a forthcoming tender to furnish and equip the whole facility as a single contract," including sourcing infrastructure equipment and fitting out a building.	211/YE/PIN	SUPPLIES	38000000	42997300",42900000,45214630,38540000,44200000,42000000,51430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision of Non Life Insurance," exclusive of Insurance Broking or Claims Management Services.	Provision of Non Life Insurance"," exclusive of Insurance Broking or Claims Management Services.Combined Liability.Official Indemnity Insurance.Environmental Liability.Group Personal Accident and Travel.Crime.Marine Liability and Hull.		SERVICES	66510000	66516500",66515411,66516000,66514120,66512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision of Non Life Insurance," exclusive of Insurance Broking or Claims Management Services.	Provision of Non Life Insurance"," exclusive of Insurance Broking or Claims Management Services.Combined Liability.Professional/Officials Indemnity.Group Personal Accident and Travel Insurance.Cyber.Crime.Marine Liability.Ship Hull.Business Vehicles Legal Protection.Motor Fleet.		SERVICES	66510000	66515411",66514150,66516500,66512000,66514120,66516000,66514110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Yorkshire Playhouse Multi Disciplinary Design Team.	Leeds City Council in partnership with the West Yorkshire Playhouse is looking to appoint a design team to take forward a scheme to refurbish the theatre"," creating a new street level entrance and improving the functioning of the 2 auditoria and a number of other areas of the building. A Stage 1 application to ACE for grant funding towards the cost of refurbishing the West Yorkshire Playhouse building has been submitted and Leeds City Council have approved funding in principleSee II.1.4 above.	A4EJ-KVWKDZ	SERVICES	71200000	71200000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision of Non Life Insurance," exclusive of Insurance Broking or Claims Management Services.	Provision of Non Life Insurance", exclusive of Insurance Broking or Claims Management ServicesProperty Damage, Business Interruption & MoneyEmployer's and Public/Product LiabilityExcess Public/Product Liability.Official and Professional Indemnity Insurance.Crime.Environmental Liability.Motor Fleet Insurance.Group Personal Accident and Travel.Engineering Inspection.Marine Liability and PropertyLivestock Policy.Machinery Damage, Engineering BI," Hired in Plant and Computer and Contract Works.		SERVICES	66510000	66514120",66515411,66510000,66516500,66512000,66515200,66516000,66514110,66519200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision of Non Life Insurance," exclusive of Insurance Broking or Claims Management Services.	Provision of Non Life Insurance", exclusive of Insurance Broking or Claims Management ServicesCombined Liability InsuranceOfficial and Professional IndemnityExcess Liability InsuranceMarine Insurance — Ship Vessel.Crime.Group Personal Accident and Travel.Environmental Liability in respect of landfill site at Tullyvar Road," Aughmacloy.Legal Expenses for Councillors.Legal Expenses.		SERVICES	66510000	66513100",66515411,66514150,66516500,66512000,66516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Care and Leaving Care Services for Children and Young People.	The ‘ Leaving Care and In Care Services’ are a range of services to be delivered for and with young people In Care and Care Leavers. The services will provide a range of specialised support services including Advocacy", Independent Visitors and Leaving Care Workers, as well as the provision of a range of personal and social development opportunities including 1-1 Support, Peer Mentors and group activities. The activities will support young people In Care and Care Leavers to achieve improved outcomes.These services will make a significant contribution to the priorities for development identified in the Corporate Parenting Strategy which includes;— educational aspiration, progress and attainment,— participation and advocacy,— further improving the access of care leavers to education, training and employment,— increasing the range of safe moving-on accommodation for care leavers,— refreshing the Transitions Policy,— further improving the access of care leavers to specialist.The provision of a high quality Leaving Care Service which will ensure that Personal Advisors are provided to Care Leavers in line with the statutory duties under The Care Planning Regulations 2010 Children in Care and Care Leavers. The Personal Advisor’s provided through this service will work alongside Local Authority Social Workers for under 18’s and take on case-holder responsibility for Care Leavers allocated to them up until the young person reaches the age of 21 (or 25 for those in further education)The provision of a high quality and accessible Advocacy and Independent Visitor Service to be provided in line with the statutory duties under the Children Act 1989 This service must provide:— trained advocates and/or independent visitors for children and young people in care that require support,— trained advocates for children and young people involved in the child protection process to ensure their wishes and views are represented via advocates.The provision of an effective, young people led Participation and Engagement Service to provide a broad range of personal and social development opportunities for young people In Care and Care Leavers which improve confidence, communication skills, resilience and self-esteem. The service will provide a range of activities which young people are supported to take part in, which;— enables learning through a range of informal education activities and settings,— provides opportunities, activities and support for young people to overcome barriers to personal and social development and to further develop their pro-social skills and personal abilities,— recognises the value of peer support through the provision peer led activities and programmes and provides further opportunities and roles for young people In care / Care leavers to support their peers, i.e.) Peer mentoring/befriending schemes.This service will also develop opportunities to be involved and increase participation in the Children In Care Council and Care Leaver’s groups to ensure that young people have forums and support to influence change on issues that they identify as important to them, including policy and practice at local and national levels. Young people will be supported through these groups to further develop their communication, team work, peer support, decision making, planning," voice and influence skills.	2015.42F	SERVICES	85000000	85000000",85312310,98133110,85312300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision of Non Life Insurances," exclusive of Insurance Broking or Claims Management Services.	Provision of Non Life Insurances.Material Damage", Business Interruption," Money and Commercial All Risks.Employers and Public/Products Liability Insurance.Officials and Professional Indemnity.Fidelity Guarantee.Personal Accident and Business Travel.Arts and Exhibitions.Engineering Inspection.Motor Fleet Insurance.Commercial Legal Expenses.Environmental Impairment Liability.Castlereagh Golf Club — Commercial Combined.Excess Public/Products Liability.Cyber Liability.Legal Protection for Councillors.		SERVICES	66510000	66513100",66513000,66515411,66516500,66512000,66515200,66516000,66514110,66519200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
